level_name,generation_time
level0.txt,12794947
level1.txt,11764293
level2.txt,11758052
level3.txt,11584116
level4.txt,11652907
level5.txt,11659427
level6.txt,12441510
level7.txt,12732113
level8.txt,12265102
level9.txt,11488771
level10.txt,11856858
level11.txt,11518817
level12.txt,12546856
level13.txt,11602871
level14.txt,12462779
level15.txt,12055210
level16.txt,12093838
level17.txt,11960888
level18.txt,11738051
level19.txt,12562256
level20.txt,12168727
level21.txt,12162666
level22.txt,11290533
level23.txt,11629187
level24.txt,11565788
level25.txt,11602961
level26.txt,11417620
level27.txt,11543511
level28.txt,12375175
level29.txt,12299495
level30.txt,11579576
level31.txt,11811278
level32.txt,12542895
level33.txt,12084161
level34.txt,12155972
level35.txt,11067434
level36.txt,12684184
level37.txt,11962665
level38.txt,11993903
level39.txt,12482740
level40.txt,11812214
level41.txt,12441418
level42.txt,12411220
level43.txt,12445497
level44.txt,11559640
level45.txt,11792856
level46.txt,11931031
level47.txt,11652373
level48.txt,11159141
level49.txt,11609029
level50.txt,11576150
level51.txt,11664386
level52.txt,12097340
level53.txt,11958735
level54.txt,11501402
level55.txt,12082924
level56.txt,11930088
level57.txt,11907092
level58.txt,11979432
level59.txt,11701538
level60.txt,12548392
level61.txt,11821707
level62.txt,11534821
level63.txt,12208686
level64.txt,12413740
level65.txt,11766840
level66.txt,11872877
level67.txt,11963397
level68.txt,12399947
level69.txt,11833101
level70.txt,12056640
level71.txt,12174403
level72.txt,12076704
level73.txt,12543620
level74.txt,11822954
level75.txt,11440440
level76.txt,11555927
level77.txt,12200471
level78.txt,12063381
level79.txt,16962860
level80.txt,11955137
level81.txt,13174336
level82.txt,11908126
level83.txt,11874584
level84.txt,12480746
level85.txt,12847296
level86.txt,12143714
level87.txt,11546214
level88.txt,11759140
level89.txt,11925741
level90.txt,11810605
level91.txt,11512159
level92.txt,12674247
level93.txt,12030423
level94.txt,11786135
level95.txt,12132429
level96.txt,12689229
level97.txt,12054415
level98.txt,11904770
level99.txt,11756277
level100.txt,11067382
level101.txt,11579001
level102.txt,12862894
level103.txt,12133758
level104.txt,12785548
level105.txt,12443604
level106.txt,12375422
level107.txt,12296457
level108.txt,12938853
level109.txt,11803429
level110.txt,12072005
level111.txt,11999323
level112.txt,12008344
level113.txt,11517522
level114.txt,11636841
level115.txt,12053264
level116.txt,12037945
level117.txt,11891160
level118.txt,11807470
level119.txt,11703684
level120.txt,12258154
level121.txt,12771818
level122.txt,12351676
level123.txt,12291496
level124.txt,12135150
level125.txt,12176982
level126.txt,11353433
level127.txt,12075319
level128.txt,12195907
level129.txt,11807393
level130.txt,11991351
level131.txt,11951729
level132.txt,12172603
level133.txt,11936397
level134.txt,11562016
level135.txt,11844751
level136.txt,11814692
level137.txt,11933329
level138.txt,11795577
level139.txt,11790212
level140.txt,11679942
level141.txt,12084629
level142.txt,12106300
level143.txt,11568109
level144.txt,11960074
level145.txt,12320026
level146.txt,12362046
level147.txt,12172140
level148.txt,12478690
level149.txt,12244784
level150.txt,12173295
level151.txt,12426898
level152.txt,12060810
level153.txt,12974438
level154.txt,12752158
level155.txt,12162800
level156.txt,11800057
level157.txt,12340001
level158.txt,11634266
level159.txt,11671332
level160.txt,11521735
level161.txt,12088416
level162.txt,11980047
level163.txt,11947077
level164.txt,11944246
level165.txt,12039946
level166.txt,11689479
level167.txt,12216418
level168.txt,12356733
level169.txt,12160943
level170.txt,12261302
level171.txt,11738504
level172.txt,12551106
level173.txt,12327318
level174.txt,12167283
level175.txt,11843023
level176.txt,12312761
level177.txt,12507983
level178.txt,11700061
level179.txt,11724905
level180.txt,12141162
level181.txt,12555091
level182.txt,11804351
level183.txt,11606602
level184.txt,11547284
level185.txt,11621975
level186.txt,12666587
level187.txt,12916280
level188.txt,12286633
level189.txt,12606299
level190.txt,12404971
level191.txt,11566683
level192.txt,11561799
level193.txt,11527475
level194.txt,12138928
level195.txt,12319322
level196.txt,12503479
level197.txt,12162761
level198.txt,12264509
level199.txt,12303293
