level_name,generation_time
level0.txt,13827716
level1.txt,12775291
level2.txt,12761737
level3.txt,12625444
level4.txt,12747627
level5.txt,12770715
level6.txt,13393387
level7.txt,13681511
level8.txt,13202589
level9.txt,12434995
level10.txt,12819039
level11.txt,12500837
level12.txt,13512647
level13.txt,12641191
level14.txt,13552989
level15.txt,13131527
level16.txt,13171334
level17.txt,12905109
level18.txt,12817475
level19.txt,13598717
level20.txt,13185671
level21.txt,13078728
level22.txt,12255995
level23.txt,12619479
level24.txt,12513233
level25.txt,12746683
level26.txt,12527841
level27.txt,12459765
level28.txt,13332860
level29.txt,13318343
level30.txt,12684206
level31.txt,12796021
level32.txt,13540147
level33.txt,13019937
level34.txt,13106124
level35.txt,12064486
level36.txt,13753685
level37.txt,12953397
level38.txt,13015674
level39.txt,13507477
level40.txt,12982542
level41.txt,13524268
level42.txt,13500160
level43.txt,13429970
level44.txt,12576428
level45.txt,12818186
level46.txt,12903139
level47.txt,12621145
level48.txt,12128519
level49.txt,12700558
level50.txt,12697236
level51.txt,12750118
level52.txt,13112347
level53.txt,13096337
level54.txt,12498565
level55.txt,13112563
level56.txt,12866632
level57.txt,13054035
level58.txt,12929493
level59.txt,12709680
level60.txt,13704532
level61.txt,12788968
level62.txt,12606878
level63.txt,13218081
level64.txt,13475334
level65.txt,12881849
level66.txt,12840828
level67.txt,12961709
level68.txt,13394010
level69.txt,12893036
level70.txt,13036663
level71.txt,13276930
level72.txt,13085983
level73.txt,13535686
level74.txt,12879557
level75.txt,12621534
level76.txt,12600576
level77.txt,13228626
level78.txt,13118857
level79.txt,17926713
level80.txt,12962782
level81.txt,14187891
level82.txt,12943657
level83.txt,12962579
level84.txt,13666480
level85.txt,13897535
level86.txt,13203091
level87.txt,12490198
level88.txt,12838876
level89.txt,12952491
level90.txt,12804573
level91.txt,12558747
level92.txt,13706126
level93.txt,13004748
level94.txt,12874916
level95.txt,13225553
level96.txt,13733874
level97.txt,13019307
level98.txt,12866603
level99.txt,12842543
level100.txt,12009932
level101.txt,12677311
level102.txt,13839721
level103.txt,13186809
level104.txt,13828580
level105.txt,13483203
level106.txt,13354763
level107.txt,13325636
level108.txt,14194310
level109.txt,12819009
level110.txt,13040776
level111.txt,12957855
level112.txt,12987400
level113.txt,12495994
level114.txt,12744656
level115.txt,13383855
level116.txt,13122712
level117.txt,12859135
level118.txt,12891409
level119.txt,12879933
level120.txt,13284687
level121.txt,13854113
level122.txt,13420110
level123.txt,13264100
level124.txt,13102714
level125.txt,13156512
level126.txt,12390757
level127.txt,13111188
level128.txt,13264332
level129.txt,12820554
level130.txt,12975133
level131.txt,12955000
level132.txt,13253418
level133.txt,12871087
level134.txt,12668393
level135.txt,12953322
level136.txt,12830312
level137.txt,13003163
level138.txt,12770337
level139.txt,12798782
level140.txt,12795793
level141.txt,13143117
level142.txt,13322821
level143.txt,12733730
level144.txt,12963702
level145.txt,13312592
level146.txt,13470878
level147.txt,13184482
level148.txt,13471197
level149.txt,13331619
level150.txt,13194745
level151.txt,13452667
level152.txt,13127584
level153.txt,14122025
level154.txt,13859368
level155.txt,13164579
level156.txt,13008145
level157.txt,13250137
level158.txt,12697656
level159.txt,12624618
level160.txt,12565864
level161.txt,13093322
level162.txt,13032667
level163.txt,12989865
level164.txt,12940464
level165.txt,13037926
level166.txt,12676775
level167.txt,13258764
level168.txt,13380411
level169.txt,13119053
level170.txt,13247132
level171.txt,12755210
level172.txt,13558019
level173.txt,13380617
level174.txt,13248071
level175.txt,12850100
level176.txt,13284362
level177.txt,13507372
level178.txt,12674277
level179.txt,12704215
level180.txt,13200287
level181.txt,13638279
level182.txt,12780907
level183.txt,12637389
level184.txt,12829095
level185.txt,12697977
level186.txt,13676871
level187.txt,13953791
level188.txt,13254412
level189.txt,13591409
level190.txt,13418394
level191.txt,12516169
level192.txt,12563722
level193.txt,12577114
level194.txt,13202225
level195.txt,13334097
level196.txt,13559708
level197.txt,13212860
level198.txt,13397136
level199.txt,13319428
