level_name,generation_time
level0.txt,47082071
level1.txt,14695921
level2.txt,13409219
level3.txt,10680474
level4.txt,7771955
level5.txt,8270724
level6.txt,7467724
level7.txt,9544340
level8.txt,7498921
level9.txt,8640403
level10.txt,7697507
level11.txt,7388087
level12.txt,7263119
level13.txt,7458868
level14.txt,9586473
level15.txt,10166512
level16.txt,8743978
level17.txt,10217835
level18.txt,7675108
level19.txt,7688468
level20.txt,7446854
level21.txt,8081941
level22.txt,7661258
level23.txt,7418418
level24.txt,7692278
level25.txt,8033116
level26.txt,7799543
level27.txt,9030697
level28.txt,7861853
level29.txt,7990420
level30.txt,9083969
level31.txt,9287479
level32.txt,8711498
level33.txt,9491166
level34.txt,6581292
level35.txt,6594490
level36.txt,6522203
level37.txt,6722712
level38.txt,6830869
level39.txt,9490391
level40.txt,9216946
level41.txt,7728438
level42.txt,6900467
level43.txt,6493412
level44.txt,6623267
level45.txt,6730308
level46.txt,6925020
level47.txt,6708214
level48.txt,6756462
level49.txt,6787019
level50.txt,6821269
level51.txt,8851244
level52.txt,9163709
level53.txt,9342833
level54.txt,7627664
level55.txt,5640007
level56.txt,7304403
level57.txt,3342480
level58.txt,3151994
level59.txt,3500450
level60.txt,2882491
level61.txt,2925340
level62.txt,3096937
level63.txt,3725026
level64.txt,3056781
level65.txt,3092778
level66.txt,2998613
level67.txt,3133928
level68.txt,3135145
level69.txt,3263163
level70.txt,3198853
level71.txt,3194757
level72.txt,2992148
level73.txt,6682519
level74.txt,2864040
level75.txt,2923998
level76.txt,3022461
level77.txt,2880872
level78.txt,2950776
level79.txt,2858672
level80.txt,2838963
level81.txt,2964087
level82.txt,3383558
level83.txt,2896285
level84.txt,3222040
level85.txt,3068462
level86.txt,2997356
level87.txt,2915100
level88.txt,28899796
level89.txt,2823788
level90.txt,2943392
level91.txt,3045363
level92.txt,3030349
level93.txt,2933067
level94.txt,2969289
level95.txt,2856977
level96.txt,2816545
level97.txt,2999890
level98.txt,2925341
level99.txt,2877005
level100.txt,2801459
level101.txt,3121600
level102.txt,5858991
level103.txt,3062378
level104.txt,2800013
level105.txt,2875575
level106.txt,2827732
level107.txt,2967584
level108.txt,2716655
level109.txt,4829586
level110.txt,2885126
level111.txt,2871335
level112.txt,2709971
level113.txt,2869782
level114.txt,2744249
level115.txt,2782066
level116.txt,2904406
level117.txt,2746241
level118.txt,2608270
level119.txt,2870941
level120.txt,3050089
level121.txt,2794297
level122.txt,2807898
level123.txt,2813869
level124.txt,2711599
level125.txt,3073200
level126.txt,2608870
level127.txt,2579658
level128.txt,2946111
level129.txt,3020707
level130.txt,2854369
level131.txt,2773599
level132.txt,2746757
level133.txt,2730759
level134.txt,2855283
level135.txt,2781779
level136.txt,2706367
level137.txt,3217348
level138.txt,3445712
level139.txt,2745851
level140.txt,2507593
level141.txt,2419671
level142.txt,2376969
level143.txt,2499801
level144.txt,2435808
level145.txt,2361429
level146.txt,3493169
level147.txt,2525065
level148.txt,2405359
level149.txt,2374536
level150.txt,2413875
level151.txt,2462878
level152.txt,2448898
level153.txt,2483898
level154.txt,2377123
level155.txt,2362384
level156.txt,2447350
level157.txt,2541742
level158.txt,2502729
level159.txt,2331562
level160.txt,2384821
level161.txt,2393440
level162.txt,2236646
level163.txt,2244151
level164.txt,4528706
level165.txt,2346672
level166.txt,2441020
level167.txt,2414718
level168.txt,2334499
level169.txt,2262018
level170.txt,2317316
level171.txt,2501818
level172.txt,2478744
level173.txt,2423705
level174.txt,2577541
level175.txt,2327093
level176.txt,2437854
level177.txt,2513587
level178.txt,2317328
level179.txt,2340206
level180.txt,2524671
level181.txt,2377190
level182.txt,2374015
level183.txt,2450200
level184.txt,2436802
level185.txt,2340099
level186.txt,2363508
level187.txt,2451564
level188.txt,2379628
level189.txt,2255109
level190.txt,2504794
level191.txt,7353483
level192.txt,2336711
level193.txt,2372155
level194.txt,2444016
level195.txt,2433030
level196.txt,2357970
level197.txt,2495300
level198.txt,2400373
level199.txt,2416199
