level_name,generation_time
level0.txt,74968588
level1.txt,20487350
level2.txt,18999608
level3.txt,17846405
level4.txt,17015980
level5.txt,16879131
level6.txt,17024605
level7.txt,16835035
level8.txt,16962896
level9.txt,17022458
level10.txt,16840075
level11.txt,16644018
level12.txt,16812969
level13.txt,16583052
level14.txt,17313676
level15.txt,16855202
level16.txt,17072030
level17.txt,16748452
level18.txt,16802670
level19.txt,16778691
level20.txt,16795477
level21.txt,17173925
level22.txt,16987351
level23.txt,16868194
level24.txt,16339995
level25.txt,16390489
level26.txt,16860790
level27.txt,16704955
level28.txt,15791998
level29.txt,12805928
level30.txt,13427088
level31.txt,13522863
level32.txt,13171179
level33.txt,13039021
level34.txt,13409839
level35.txt,12801742
level36.txt,13594222
level37.txt,13320272
level38.txt,12166524
level39.txt,12351273
level40.txt,13468096
level41.txt,13261157
level42.txt,12639441
level43.txt,13353305
level44.txt,13353381
level45.txt,13674760
level46.txt,13695970
level47.txt,13820978
level48.txt,12938528
level49.txt,13144205
level50.txt,13530970
level51.txt,13197226
level52.txt,13034469
level53.txt,12781766
level54.txt,12911622
level55.txt,13040678
level56.txt,13568021
level57.txt,13200576
level58.txt,13352917
level59.txt,13082005
level60.txt,13753612
level61.txt,13475929
level62.txt,13421852
level63.txt,13040007
level64.txt,13357696
level65.txt,12989424
level66.txt,13531911
level67.txt,13597457
level68.txt,12764854
level69.txt,17663347
level70.txt,13852061
level71.txt,13462220
level72.txt,12896604
level73.txt,13131828
level74.txt,13115416
level75.txt,13158232
level76.txt,13177518
level77.txt,13438779
level78.txt,12772257
level79.txt,13397839
level80.txt,13053925
level81.txt,13193902
level82.txt,13223133
level83.txt,12517913
level84.txt,12991228
level85.txt,13538305
level86.txt,13143280
level87.txt,12775413
level88.txt,13301757
level89.txt,13045389
level90.txt,13279431
level91.txt,13131568
level92.txt,13210044
level93.txt,13108282
level94.txt,13365527
level95.txt,13079035
level96.txt,13454094
level97.txt,12970376
level98.txt,13554823
level99.txt,13010059
level100.txt,13125622
level101.txt,13046608
level102.txt,12569093
level103.txt,12544605
level104.txt,13325107
level105.txt,13375944
level106.txt,12862980
level107.txt,13655708
level108.txt,13375779
level109.txt,13708371
level110.txt,12975160
level111.txt,13405748
level112.txt,13078003
level113.txt,13513411
level114.txt,13915737
level115.txt,13668359
level116.txt,13087653
level117.txt,12626558
level118.txt,12647870
level119.txt,13227868
level120.txt,13324080
level121.txt,12886609
level122.txt,13249952
level123.txt,13158615
level124.txt,13344027
level125.txt,13030471
level126.txt,13290626
level127.txt,12915249
level128.txt,13497832
level129.txt,12785736
level130.txt,13069514
level131.txt,14036129
level132.txt,12730731
level133.txt,12406996
level134.txt,14094815
level135.txt,13195435
level136.txt,13089735
level137.txt,13006429
level138.txt,13073804
level139.txt,13220836
level140.txt,13459075
level141.txt,13828873
level142.txt,13639191
level143.txt,12772765
level144.txt,13520982
level145.txt,13089954
level146.txt,13315655
level147.txt,13095441
level148.txt,12862040
level149.txt,13278450
level150.txt,12780268
level151.txt,13420714
level152.txt,12706547
level153.txt,13404914
level154.txt,13982733
level155.txt,13440975
level156.txt,13247108
level157.txt,13664628
level158.txt,13096579
level159.txt,13469168
level160.txt,14099055
level161.txt,13312114
level162.txt,13199135
level163.txt,13486888
level164.txt,12599259
level165.txt,13034120
level166.txt,13163485
level167.txt,12843316
level168.txt,13495833
level169.txt,12840606
level170.txt,13149538
level171.txt,13617881
level172.txt,13060653
level173.txt,13313022
level174.txt,13198941
level175.txt,13608665
level176.txt,13901115
level177.txt,13540121
level178.txt,12440097
level179.txt,12467307
level180.txt,13084288
level181.txt,13878470
level182.txt,13116235
level183.txt,13349297
level184.txt,13083174
level185.txt,13363342
level186.txt,13111097
level187.txt,13935658
level188.txt,13985775
level189.txt,13786668
level190.txt,13535235
level191.txt,13252720
level192.txt,13459413
level193.txt,12802144
level194.txt,12474439
level195.txt,13704033
level196.txt,13657103
level197.txt,12901160
level198.txt,14150189
level199.txt,13246325
