level_name,generation_time
level0.txt,72640734
level1.txt,18795003
level2.txt,17438512
level3.txt,16486766
level4.txt,15611764
level5.txt,15578772
level6.txt,15583038
level7.txt,15482783
level8.txt,15529147
level9.txt,15621716
level10.txt,15486400
level11.txt,15380461
level12.txt,15389881
level13.txt,15105051
level14.txt,15891761
level15.txt,15390557
level16.txt,15680145
level17.txt,15347732
level18.txt,15396913
level19.txt,15353135
level20.txt,15425308
level21.txt,15873879
level22.txt,15521915
level23.txt,15494277
level24.txt,14931432
level25.txt,15057038
level26.txt,15453967
level27.txt,15325852
level28.txt,14798167
level29.txt,11784188
level30.txt,12271768
level31.txt,12495652
level32.txt,12180920
level33.txt,11902094
level34.txt,12340684
level35.txt,11717513
level36.txt,12503965
level37.txt,12284283
level38.txt,11070215
level39.txt,11201646
level40.txt,12487751
level41.txt,12254926
level42.txt,11652047
level43.txt,12261458
level44.txt,12248398
level45.txt,12628462
level46.txt,12565552
level47.txt,12711141
level48.txt,11880375
level49.txt,12118179
level50.txt,12487644
level51.txt,12127855
level52.txt,11970660
level53.txt,11481706
level54.txt,11871775
level55.txt,11964591
level56.txt,12577976
level57.txt,12021460
level58.txt,12283336
level59.txt,11933398
level60.txt,12667732
level61.txt,12445448
level62.txt,12381986
level63.txt,12032086
level64.txt,12362494
level65.txt,12038799
level66.txt,12397755
level67.txt,12401376
level68.txt,11652158
level69.txt,16685107
level70.txt,12790528
level71.txt,12303773
level72.txt,11907851
level73.txt,12124166
level74.txt,12158541
level75.txt,12180774
level76.txt,12095832
level77.txt,12395076
level78.txt,11664619
level79.txt,12268336
level80.txt,11950840
level81.txt,12170852
level82.txt,12008379
level83.txt,11311422
level84.txt,11984987
level85.txt,12495919
level86.txt,12123391
level87.txt,11754331
level88.txt,12301742
level89.txt,12050649
level90.txt,12265866
level91.txt,12069220
level92.txt,12200809
level93.txt,12005158
level94.txt,12362983
level95.txt,12021130
level96.txt,12427786
level97.txt,11863632
level98.txt,12497129
level99.txt,11969307
level100.txt,12114366
level101.txt,12088611
level102.txt,11308029
level103.txt,11358600
level104.txt,12147692
level105.txt,12262332
level106.txt,11666439
level107.txt,12556190
level108.txt,12262982
level109.txt,12677209
level110.txt,11874174
level111.txt,12340753
level112.txt,12061508
level113.txt,12499936
level114.txt,12853356
level115.txt,12632226
level116.txt,12040094
level117.txt,11539225
level118.txt,11612538
level119.txt,12189969
level120.txt,12211563
level121.txt,11832303
level122.txt,12274236
level123.txt,12092814
level124.txt,12328586
level125.txt,11964225
level126.txt,12237561
level127.txt,11919193
level128.txt,12395621
level129.txt,11699450
level130.txt,11988193
level131.txt,12869692
level132.txt,11492370
level133.txt,11391516
level134.txt,12923553
level135.txt,12228095
level136.txt,12017908
level137.txt,11991010
level138.txt,11894569
level139.txt,12167555
level140.txt,12342384
level141.txt,12833312
level142.txt,12527508
level143.txt,11781753
level144.txt,12435617
level145.txt,12068620
level146.txt,12260679
level147.txt,11896015
level148.txt,11840694
level149.txt,12006152
level150.txt,11670272
level151.txt,12303056
level152.txt,11709323
level153.txt,12370014
level154.txt,12940766
level155.txt,12433752
level156.txt,12101905
level157.txt,12573534
level158.txt,11986050
level159.txt,12429405
level160.txt,13115760
level161.txt,12270286
level162.txt,12150517
level163.txt,12154064
level164.txt,11443547
level165.txt,11913603
level166.txt,12167297
level167.txt,11817778
level168.txt,12443499
level169.txt,11840188
level170.txt,12098019
level171.txt,12632439
level172.txt,12080570
level173.txt,12287527
level174.txt,12166472
level175.txt,12492950
level176.txt,12830391
level177.txt,12364607
level178.txt,11318287
level179.txt,11333123
level180.txt,12025941
level181.txt,12791534
level182.txt,12128160
level183.txt,12348285
level184.txt,12008935
level185.txt,12242557
level186.txt,11967448
level187.txt,12796029
level188.txt,12815083
level189.txt,12688757
level190.txt,12429978
level191.txt,12090928
level192.txt,12353021
level193.txt,11623340
level194.txt,11492681
level195.txt,12626044
level196.txt,12583433
level197.txt,11892265
level198.txt,13026342
level199.txt,12258676
